stem,n_gt_edges,row2_pred_P,row2_pred_R,row2_pred_F1,row2_pred_TA,row2_pred_npred,row2_gtmask_P,row2_gtmask_R,row2_gtmask_F1,row2_gtmask_TA,row2_gtmask_npred,row3_pred_P,row3_pred_R,row3_pred_F1,row3_pred_TA,row3_pred_npred
8835,13,0.8666666666666667,1.0,0.9285714285714286,0.6153846153846154,15,0.8666666666666667,1.0,0.9285714285714286,0.6153846153846154,15,1.0,1.0,1.0,1.0,13
7505,11,1.0,1.0,1.0,0.7272727272727273,11,1.0,1.0,1.0,0.7272727272727273,11,1.0,1.0,1.0,1.0,11
5311,13,1.0,1.0,1.0,0.6153846153846154,13,1.0,1.0,1.0,0.6153846153846154,13,1.0,1.0,1.0,1.0,13
9901,25,0.8333333333333334,1.0,0.9090909090909091,0.76,30,0.8333333333333334,1.0,0.9090909090909091,0.76,30,1.0,1.0,1.0,1.0,25
10037,14,0.9333333333333333,1.0,0.9655172413793104,0.7857142857142857,15,0.9333333333333333,1.0,0.9655172413793104,0.7857142857142857,15,1.0,1.0,1.0,1.0,14
12686,16,0.8421052631578947,1.0,0.9142857142857143,0.6875,19,0.8421052631578947,1.0,0.9142857142857143,0.6875,19,1.0,1.0,1.0,1.0,16
11774,7,1.0,1.0,1.0,0.7142857142857143,7,1.0,1.0,1.0,0.7142857142857143,7,1.0,1.0,1.0,1.0,7
16184,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,1.0,8
8812,15,0.9375,1.0,0.967741935483871,0.6,16,0.9375,1.0,0.967741935483871,0.6,16,1.0,1.0,1.0,1.0,15
14447,14,1.0,1.0,1.0,0.7142857142857143,14,1.0,1.0,1.0,0.7142857142857143,14,1.0,1.0,1.0,1.0,14
14167,14,0.9333333333333333,1.0,0.9655172413793104,0.7142857142857143,15,0.9333333333333333,1.0,0.9655172413793104,0.7142857142857143,15,1.0,1.0,1.0,1.0,14
14330,9,1.0,1.0,1.0,0.8888888888888888,9,1.0,1.0,1.0,0.8888888888888888,9,1.0,1.0,1.0,1.0,9
12750,6,0.8571428571428571,1.0,0.923076923076923,0.5,7,0.8571428571428571,1.0,0.923076923076923,0.5,7,1.0,1.0,1.0,1.0,6
14651,13,0.6842105263157895,1.0,0.8125000000000001,0.7692307692307693,19,0.6842105263157895,1.0,0.8125000000000001,0.7692307692307693,19,1.0,0.9230769230769231,0.9600000000000001,1.0,12
11467,11,1.0,1.0,1.0,0.8181818181818182,11,1.0,1.0,1.0,0.8181818181818182,11,1.0,1.0,1.0,1.0,11
15797,7,1.0,1.0,1.0,0.7142857142857143,7,1.0,1.0,1.0,0.7142857142857143,7,1.0,1.0,1.0,1.0,7
11490,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,1.0,8
11211,11,0.9166666666666666,1.0,0.9565217391304348,0.6363636363636364,12,0.9166666666666666,1.0,0.9565217391304348,0.6363636363636364,12,1.0,1.0,1.0,1.0,11
10431,7,0.6363636363636364,1.0,0.7777777777777778,0.5714285714285714,11,0.5833333333333334,1.0,0.7368421052631579,0.5714285714285714,12,1.0,1.0,1.0,1.0,7
5179,8,0.8888888888888888,1.0,0.9411764705882353,0.625,9,0.8888888888888888,1.0,0.9411764705882353,0.625,9,1.0,1.0,1.0,1.0,8
8090,6,0.8571428571428571,1.0,0.923076923076923,0.6666666666666666,7,0.8571428571428571,1.0,0.923076923076923,0.6666666666666666,7,1.0,1.0,1.0,1.0,6
6460,11,0.7857142857142857,1.0,0.88,0.6363636363636364,14,0.7857142857142857,1.0,0.88,0.6363636363636364,14,1.0,1.0,1.0,1.0,11
12321,7,0.7777777777777778,1.0,0.8750000000000001,0.5714285714285714,9,0.7777777777777778,1.0,0.8750000000000001,0.5714285714285714,9,1.0,1.0,1.0,1.0,7
15674,18,0.8571428571428571,1.0,0.923076923076923,0.9444444444444444,21,0.8571428571428571,1.0,0.923076923076923,0.9444444444444444,21,1.0,1.0,1.0,1.0,18
6321,10,1.0,1.0,1.0,0.6,10,1.0,1.0,1.0,0.6,10,1.0,1.0,1.0,1.0,10
12107,9,0.6923076923076923,1.0,0.8181818181818181,0.5555555555555556,13,0.6923076923076923,1.0,0.8181818181818181,0.5555555555555556,13,1.0,1.0,1.0,0.8888888888888888,9
7313,12,0.9230769230769231,1.0,0.9600000000000001,0.5833333333333334,13,0.9230769230769231,1.0,0.9600000000000001,0.5833333333333334,13,1.0,1.0,1.0,1.0,12
14945,10,1.0,1.0,1.0,0.7,10,1.0,1.0,1.0,0.7,10,1.0,1.0,1.0,1.0,10
10868,11,1.0,1.0,1.0,0.6363636363636364,11,1.0,1.0,1.0,0.6363636363636364,11,1.0,1.0,1.0,1.0,11
1511,12,0.9230769230769231,1.0,0.9600000000000001,0.6666666666666666,13,0.9230769230769231,1.0,0.9600000000000001,0.6666666666666666,13,1.0,1.0,1.0,1.0,12
13492,15,0.8823529411764706,1.0,0.9375,0.6666666666666666,17,0.8823529411764706,1.0,0.9375,0.6666666666666666,17,1.0,1.0,1.0,1.0,15
12459,11,1.0,1.0,1.0,0.7272727272727273,11,1.0,1.0,1.0,0.7272727272727273,11,1.0,1.0,1.0,1.0,11
16332,11,1.0,1.0,1.0,0.7272727272727273,11,1.0,1.0,1.0,0.7272727272727273,11,1.0,1.0,1.0,1.0,11
1727,7,0.875,1.0,0.9333333333333333,0.5714285714285714,8,0.875,1.0,0.9333333333333333,0.5714285714285714,8,1.0,1.0,1.0,1.0,7
15479,12,1.0,1.0,1.0,0.9166666666666666,12,1.0,1.0,1.0,0.9166666666666666,12,1.0,1.0,1.0,1.0,12
3645,12,0.75,1.0,0.8571428571428571,0.6666666666666666,16,0.75,1.0,0.8571428571428571,0.6666666666666666,16,1.0,1.0,1.0,1.0,12
959,10,1.0,1.0,1.0,0.7,10,1.0,1.0,1.0,0.7,10,1.0,1.0,1.0,1.0,10
7462,10,0.9090909090909091,1.0,0.9523809523809523,0.8,11,0.9090909090909091,1.0,0.9523809523809523,0.8,11,1.0,1.0,1.0,1.0,10
3685,12,0.75,1.0,0.8571428571428571,0.6666666666666666,16,0.75,1.0,0.8571428571428571,0.6666666666666666,16,1.0,1.0,1.0,1.0,12
367,12,1.0,1.0,1.0,0.6666666666666666,12,1.0,1.0,1.0,0.6666666666666666,12,1.0,1.0,1.0,1.0,12
2382,15,1.0,1.0,1.0,0.7333333333333333,15,1.0,1.0,1.0,0.7333333333333333,15,1.0,1.0,1.0,1.0,15
2441,13,0.8,0.9230769230769231,0.8571428571428571,0.5833333333333334,15,0.7647058823529411,1.0,0.8666666666666666,0.5384615384615384,17,1.0,0.9230769230769231,0.9600000000000001,1.0,12
13441,10,0.8333333333333334,1.0,0.9090909090909091,0.7,12,0.8333333333333334,1.0,0.9090909090909091,0.7,12,1.0,1.0,1.0,1.0,10
9187,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,1.0,8
12935,7,0.875,1.0,0.9333333333333333,0.7142857142857143,8,0.875,1.0,0.9333333333333333,0.7142857142857143,8,1.0,1.0,1.0,1.0,7
12279,11,1.0,1.0,1.0,0.8181818181818182,11,1.0,1.0,1.0,0.8181818181818182,11,1.0,1.0,1.0,1.0,11
6492,9,0.9,1.0,0.9473684210526316,0.7777777777777778,10,0.9,1.0,0.9473684210526316,0.7777777777777778,10,1.0,1.0,1.0,1.0,9
2504,10,1.0,1.0,1.0,0.6,10,1.0,1.0,1.0,0.6,10,1.0,1.0,1.0,1.0,10
2562,11,0.8461538461538461,1.0,0.9166666666666666,0.8181818181818182,13,0.8461538461538461,1.0,0.9166666666666666,0.8181818181818182,13,1.0,1.0,1.0,1.0,11
1978,17,1.0,1.0,1.0,0.8235294117647058,17,1.0,1.0,1.0,0.8235294117647058,17,1.0,1.0,1.0,1.0,17
9057,13,1.0,1.0,1.0,0.5384615384615384,13,1.0,1.0,1.0,0.5384615384615384,13,1.0,1.0,1.0,1.0,13
6659,12,1.0,1.0,1.0,0.5833333333333334,12,1.0,1.0,1.0,0.5833333333333334,12,1.0,1.0,1.0,1.0,12
6000,23,0.9583333333333334,1.0,0.9787234042553191,0.782608695652174,24,0.9583333333333334,1.0,0.9787234042553191,0.782608695652174,24,1.0,0.8260869565217391,0.9047619047619047,1.0,19
4877,10,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,10
2747,11,0.7857142857142857,1.0,0.88,0.7272727272727273,14,0.7857142857142857,1.0,0.88,0.7272727272727273,14,1.0,1.0,1.0,1.0,11
10655,13,0.9285714285714286,1.0,0.962962962962963,0.8461538461538461,14,0.9285714285714286,1.0,0.962962962962963,0.8461538461538461,14,1.0,1.0,1.0,1.0,13
7658,10,1.0,1.0,1.0,0.6,10,1.0,1.0,1.0,0.6,10,1.0,1.0,1.0,1.0,10
984,12,1.0,1.0,1.0,0.8333333333333334,12,1.0,1.0,1.0,0.8333333333333334,12,1.0,1.0,1.0,1.0,12
16859,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,1.0,8
2939,15,0.9375,1.0,0.967741935483871,0.7333333333333333,16,0.9375,1.0,0.967741935483871,0.7333333333333333,16,1.0,1.0,1.0,1.0,15
7700,10,0.8333333333333334,1.0,0.9090909090909091,0.7,12,0.8333333333333334,1.0,0.9090909090909091,0.7,12,1.0,1.0,1.0,1.0,10
13914,15,0.8823529411764706,1.0,0.9375,0.8,17,0.8823529411764706,1.0,0.9375,0.8,17,1.0,1.0,1.0,1.0,15
453,13,0.8125,1.0,0.896551724137931,0.6923076923076923,16,0.8125,1.0,0.896551724137931,0.6923076923076923,16,1.0,1.0,1.0,1.0,13
10192,7,1.0,1.0,1.0,0.42857142857142855,7,1.0,1.0,1.0,0.42857142857142855,7,1.0,1.0,1.0,1.0,7
9131,13,0.7222222222222222,1.0,0.8387096774193548,0.9230769230769231,18,0.7222222222222222,1.0,0.8387096774193548,0.9230769230769231,18,1.0,1.0,1.0,1.0,13
3420,13,0.9285714285714286,1.0,0.962962962962963,0.6923076923076923,14,0.9285714285714286,1.0,0.962962962962963,0.6923076923076923,14,1.0,1.0,1.0,1.0,13
3343,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.625,9,0.8181818181818182,1.0,0.9,0.5555555555555556,11,1.0,0.8888888888888888,0.9411764705882353,1.0,8
2480,12,1.0,1.0,1.0,0.6666666666666666,12,1.0,1.0,1.0,0.6666666666666666,12,1.0,1.0,1.0,1.0,12
12006,10,0.9090909090909091,1.0,0.9523809523809523,0.6,11,0.9090909090909091,1.0,0.9523809523809523,0.6,11,1.0,1.0,1.0,1.0,10
3202,13,1.0,1.0,1.0,0.7692307692307693,13,1.0,1.0,1.0,0.7692307692307693,13,1.0,1.0,1.0,1.0,13
8661,14,1.0,1.0,1.0,0.7857142857142857,14,1.0,1.0,1.0,0.7857142857142857,14,1.0,1.0,1.0,1.0,14
10217,7,0.7,1.0,0.8235294117647058,0.7142857142857143,10,0.7,1.0,0.8235294117647058,0.7142857142857143,10,0.875,1.0,0.9333333333333333,1.0,8
3334,13,0.6842105263157895,1.0,0.8125000000000001,0.7692307692307693,19,0.6842105263157895,1.0,0.8125000000000001,0.7692307692307693,19,1.0,1.0,1.0,1.0,13
7758,11,1.0,1.0,1.0,0.5454545454545454,11,1.0,1.0,1.0,0.5454545454545454,11,1.0,1.0,1.0,1.0,11
7944,12,0.8,1.0,0.888888888888889,0.8333333333333334,15,0.8,1.0,0.888888888888889,0.8333333333333334,15,1.0,1.0,1.0,1.0,12
11152,7,1.0,1.0,1.0,0.7142857142857143,7,1.0,1.0,1.0,0.7142857142857143,7,1.0,1.0,1.0,1.0,7
9430,10,1.0,1.0,1.0,0.6,10,1.0,1.0,1.0,0.6,10,1.0,1.0,1.0,1.0,10
7563,9,0.8181818181818182,1.0,0.9,0.6666666666666666,11,0.8181818181818182,1.0,0.9,0.6666666666666666,11,1.0,1.0,1.0,1.0,9
7095,15,0.8823529411764706,1.0,0.9375,0.6666666666666666,17,0.8823529411764706,1.0,0.9375,0.6666666666666666,17,1.0,1.0,1.0,1.0,15
1761,16,0.8888888888888888,1.0,0.9411764705882353,0.8125,18,0.8888888888888888,1.0,0.9411764705882353,0.8125,18,1.0,1.0,1.0,1.0,16
12610,13,0.7647058823529411,1.0,0.8666666666666666,0.9230769230769231,17,0.7647058823529411,1.0,0.8666666666666666,0.9230769230769231,17,1.0,0.9230769230769231,0.9600000000000001,1.0,12
14580,22,0.8461538461538461,1.0,0.9166666666666666,0.7727272727272727,26,0.8461538461538461,1.0,0.9166666666666666,0.7727272727272727,26,1.0,1.0,1.0,1.0,22
1410,21,0.7777777777777778,1.0,0.8750000000000001,0.7619047619047619,27,0.7777777777777778,1.0,0.8750000000000001,0.7619047619047619,27,1.0,1.0,1.0,1.0,21
6195,6,0.6666666666666666,1.0,0.8,0.8333333333333334,9,0.6666666666666666,1.0,0.8,0.8333333333333334,9,1.0,1.0,1.0,1.0,6
16236,8,0.8,1.0,0.888888888888889,0.625,10,0.8,1.0,0.888888888888889,0.625,10,1.0,1.0,1.0,1.0,8
845,11,1.0,1.0,1.0,0.7272727272727273,11,1.0,1.0,1.0,0.7272727272727273,11,1.0,1.0,1.0,1.0,11
999,17,1.0,1.0,1.0,0.7058823529411765,17,1.0,1.0,1.0,0.7058823529411765,17,1.0,1.0,1.0,1.0,17
1962,16,0.8888888888888888,1.0,0.9411764705882353,0.6875,18,0.8888888888888888,1.0,0.9411764705882353,0.6875,18,1.0,1.0,1.0,1.0,16
4127,20,0.8695652173913043,1.0,0.9302325581395349,0.7,23,0.8695652173913043,1.0,0.9302325581395349,0.7,23,1.0,1.0,1.0,1.0,20
3968,13,0.8666666666666667,1.0,0.9285714285714286,0.7692307692307693,15,0.8666666666666667,1.0,0.9285714285714286,0.7692307692307693,15,1.0,1.0,1.0,1.0,13
6238,6,0.6666666666666666,1.0,0.8,0.6666666666666666,9,0.6666666666666666,1.0,0.8,0.6666666666666666,9,1.0,1.0,1.0,1.0,6
3117,13,1.0,1.0,1.0,0.6153846153846154,13,1.0,1.0,1.0,0.6153846153846154,13,1.0,1.0,1.0,1.0,13
2193,13,0.9285714285714286,1.0,0.962962962962963,0.7692307692307693,14,0.9285714285714286,1.0,0.962962962962963,0.7692307692307693,14,1.0,1.0,1.0,1.0,13
14461,5,0.8333333333333334,1.0,0.9090909090909091,0.8,6,0.8333333333333334,1.0,0.9090909090909091,0.8,6,1.0,1.0,1.0,1.0,5
14161,12,0.75,1.0,0.8571428571428571,0.75,16,0.75,1.0,0.8571428571428571,0.75,16,1.0,1.0,1.0,1.0,12
207,17,0.9444444444444444,1.0,0.9714285714285714,0.6470588235294118,18,0.9444444444444444,1.0,0.9714285714285714,0.6470588235294118,18,1.0,1.0,1.0,1.0,17
9770,15,0.8823529411764706,1.0,0.9375,0.7333333333333333,17,0.8823529411764706,1.0,0.9375,0.7333333333333333,17,1.0,1.0,1.0,1.0,15
12772,13,0.8666666666666667,1.0,0.9285714285714286,0.6153846153846154,15,0.8666666666666667,1.0,0.9285714285714286,0.6153846153846154,15,1.0,1.0,1.0,1.0,13
6479,9,1.0,1.0,1.0,0.8888888888888888,9,1.0,1.0,1.0,0.8888888888888888,9,1.0,1.0,1.0,1.0,9
9694,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,1.0,8
7561,15,0.9375,1.0,0.967741935483871,0.6666666666666666,16,0.9375,1.0,0.967741935483871,0.6666666666666666,16,1.0,1.0,1.0,1.0,15
7752,14,0.9333333333333333,1.0,0.9655172413793104,0.6428571428571429,15,0.9333333333333333,1.0,0.9655172413793104,0.6428571428571429,15,1.0,1.0,1.0,1.0,14
13932,9,0.9,1.0,0.9473684210526316,0.5555555555555556,10,0.9,1.0,0.9473684210526316,0.5555555555555556,10,1.0,1.0,1.0,1.0,9
13569,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,1.0,8
13964,17,0.9444444444444444,1.0,0.9714285714285714,0.9411764705882353,18,0.9444444444444444,1.0,0.9714285714285714,0.9411764705882353,18,1.0,1.0,1.0,1.0,17
14539,9,1.0,1.0,1.0,0.5555555555555556,9,1.0,1.0,1.0,0.5555555555555556,9,1.0,1.0,1.0,1.0,9
11007,7,0.875,1.0,0.9333333333333333,0.8571428571428571,8,0.875,1.0,0.9333333333333333,0.8571428571428571,8,1.0,1.0,1.0,1.0,7
16875,18,0.75,1.0,0.8571428571428571,0.8333333333333334,24,0.75,1.0,0.8571428571428571,0.8333333333333334,24,1.0,1.0,1.0,1.0,18
13439,12,0.4,1.0,0.5714285714285715,0.9166666666666666,30,0.3870967741935484,1.0,0.5581395348837209,0.9166666666666666,31,1.0,1.0,1.0,1.0,12
6139,13,0.8666666666666667,1.0,0.9285714285714286,0.8461538461538461,15,0.8666666666666667,1.0,0.9285714285714286,0.8461538461538461,15,1.0,1.0,1.0,1.0,13
6676,9,0.9,1.0,0.9473684210526316,0.5555555555555556,10,0.9,1.0,0.9473684210526316,0.5555555555555556,10,1.0,1.0,1.0,1.0,9
3283,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,1.0,8
14451,12,0.8571428571428571,1.0,0.923076923076923,0.5833333333333334,14,0.8571428571428571,1.0,0.923076923076923,0.5833333333333334,14,1.0,1.0,1.0,1.0,12
1254,17,0.85,1.0,0.9189189189189189,0.7647058823529411,20,0.85,1.0,0.9189189189189189,0.7647058823529411,20,1.0,1.0,1.0,1.0,17
1248,11,1.0,1.0,1.0,0.8181818181818182,11,1.0,1.0,1.0,0.8181818181818182,11,1.0,1.0,1.0,1.0,11
3220,11,1.0,1.0,1.0,0.7272727272727273,11,1.0,1.0,1.0,0.7272727272727273,11,1.0,1.0,1.0,1.0,11
1223,9,0.9,1.0,0.9473684210526316,0.7777777777777778,10,0.9,1.0,0.9473684210526316,0.7777777777777778,10,1.0,1.0,1.0,1.0,9
16645,6,0.75,1.0,0.8571428571428571,0.6666666666666666,8,0.75,1.0,0.8571428571428571,0.6666666666666666,8,1.0,1.0,1.0,1.0,6
6539,9,1.0,1.0,1.0,0.5555555555555556,9,1.0,1.0,1.0,0.5555555555555556,9,1.0,1.0,1.0,1.0,9
5625,10,0.9090909090909091,1.0,0.9523809523809523,0.7,11,0.9090909090909091,1.0,0.9523809523809523,0.7,11,1.0,1.0,1.0,1.0,10
2077,13,1.0,1.0,1.0,0.6153846153846154,13,1.0,1.0,1.0,0.6153846153846154,13,1.0,1.0,1.0,1.0,13
4151,13,1.0,1.0,1.0,0.7692307692307693,13,1.0,1.0,1.0,0.7692307692307693,13,1.0,1.0,1.0,1.0,13
331,14,0.9333333333333333,1.0,0.9655172413793104,0.5714285714285714,15,0.9333333333333333,1.0,0.9655172413793104,0.5714285714285714,15,1.0,1.0,1.0,1.0,14
16152,8,0.7272727272727273,1.0,0.8421052631578948,0.625,11,0.7272727272727273,1.0,0.8421052631578948,0.625,11,1.0,1.0,1.0,1.0,8
13661,7,0.7777777777777778,1.0,0.8750000000000001,0.5714285714285714,9,0.7777777777777778,1.0,0.8750000000000001,0.5714285714285714,9,1.0,1.0,1.0,1.0,7
15007,9,1.0,1.0,1.0,0.6666666666666666,9,1.0,1.0,1.0,0.6666666666666666,9,1.0,1.0,1.0,1.0,9
1397,20,0.8695652173913043,1.0,0.9302325581395349,0.7,23,0.8695652173913043,1.0,0.9302325581395349,0.7,23,1.0,1.0,1.0,1.0,20
